GPS_time,x,y,depth
236897.1814,-39.17452853,720.1407939,10.08032131
236909.1773,-40.47019847,720.841834,10.06062246
236921.1761,-39.65898579,722.5577709,10.03599889
236933.1759,-41.24903371,723.2025853,10.02122476
236945.1765,-40.25650424,723.710799,9.964590559
236969.1765,-43.98659577,722.8242406,9.819311531
236981.1794,-44.02012984,725.663524,9.787300897
236993.184,-44.61708483,726.5176207,9.787300897
237005.1771,-45.48378928,726.4440899,9.821773887
237029.1103,-46.53187331,728.6703567,10.00891297
237041.098,-47.31584379,729.8150164,10.12710608
237053.1793,-47.82204123,729.5435516,10.26992275
237065.1787,-47.88274405,730.8782069,10.37334172
237077.1743,-48.7534708,731.7644981,10.46937362
237089.1746,-50.62952267,732.6165923,10.54570667
237101.085,-50.68860334,732.8423255,10.59741616
237113.1748,-48.46387578,732.0414545,10.62696443
237137.1756,-50.46099543,733.7000804,10.60480323
237161.161,-53.56150077,734.4044624,10.52600782
237173.179,-53.54913124,735.8619852,10.48661012
237197.1759,-53.18401752,736.0575461,10.47676069
237209.1746,-55.60857398,738.6613941,10.42258885
237221.0798,-56.40482789,738.2638039,10.39304057
237233.1748,-56.29365268,739.6632339,10.38319115
237245.1796,-57.01117114,739.6733384,10.27977218
237257.1764,-56.79834903,741.1239636,10.17881557
237269.1749,-58.18989659,740.6758528,10.10986959
237281.1787,-58.97381642,741.6465256,10.02122476
237293.1792,-59.49360652,741.9156975,9.964590559
237305.176,-58.80988448,744.0586345,9.94981642
237317.1748,-61.2478008,743.2889724,9.991676479
237341.1779,-62.63585886,743.7631168,10.09509545
237365.1757,-64.14881231,744.609705,10.1714285
237377.1757,-63.32289394,745.5534658,10.17635321
237413.1856,-66.7257358,745.5450301,9.976902341
237449.1763,-67.13365495,747.8654327,9.703580779
237461.1769,-66.76217936,748.0090364,9.651871294
237473.1796,-70.5012664,749.0599885,9.612473592
237485.1821,-71.02251755,749.4391492,9.597699453
237497.179,-71.69803842,749.5471623,9.614935948
237533.1766,-73.93795941,751.3520489,9.777451472
237545.1129,-73.05486243,751.6459725,9.866096302
237557.1742,-74.61934243,752.7668484,9.930117569
237593.1767,-77.29769784,751.3169303,9.95720349
237617.1796,-79.35294313,753.598811,9.846397451
237629.1762,-78.68029465,754.9848759,9.804537392
237665.1759,-80.80808449,755.3999496,9.821773887
237677.1745,-82.8863343,756.3206479,9.841472738
237689.176,-81.17511878,756.9212636,9.895644579
237701.176,-84.69206193,757.970472,9.898106936
237713.1742,-84.17633749,759.4576776,9.890719866
237725.1759,-84.287921,757.6491316,9.880870441
237737.1758,-86.19030561,759.2508635,9.866096302
237749.1739,-85.55536919,758.0112142,9.88825751
237761.1794,-85.2566449,760.8744487,9.917805787
237773.1766,-85.8740445,760.8245745,9.947354064
237785.1786,-89.32579305,761.5295606,9.979364697
237797.2588,-88.18371121,761.2042401,10.02614947
237809.182,-88.86196249,762.3233293,10.08770838
237821.1787,-89.63280352,761.3504228,10.15172965
237833.1739,-88.9401401,761.7074005,10.22806269
237845.1794,-90.87194192,762.4639383,10.3068581
237869.179,-91.27416687,764.9828514,10.50384661
237881.1767,-91.94387884,764.4071165,10.5949538
237893.1788,-91.72861674,764.8974654,10.67128685
237917.1765,-90.14736609,764.8057422,10.69837277
237929.1767,-93.08302233,766.7868334,10.65405035
237953.1836,-94.42823018,767.9411692,10.45706184
237977.1776,-94.20253442,770.7705385,10.32655695
237989.1789,-96.37846356,769.9496036,10.33394402
238001.178,-95.64991876,769.9134319,10.32655695
238013.1745,-96.62881838,770.0003219,10.36595465
238025.1778,-97.09191362,769.6750622,10.42997592
238037.2476,-97.22683165,772.7364388,10.48661012
238049.0865,-98.05878187,771.4569725,10.52108311
238061.1782,-97.21508976,772.1359768,10.5383196
